im	marker	bGood	iLG	chr	coorGenet	startCtgOnChr	indexOnPath
41	NODE_3255_length_21025_cov_2.44273_B0_start16500,16500,16508,16508	True	21	chr1	36.8976437968	1482120	20
42	NODE_1414_length_36053_cov_2.13757_B0_start12366	True	21	chr1	37.9180873784	1522140	21
43	NODE_4829_length_14717_cov_2.78292_B0_start3367,3369	True	21	chr1	37.9180873784	1558500	-1
44	NODE_286_length_71585_cov_2.1821___49309	False	21	chr1	38.8796554748	1602900	-1
45	NODE_411_length_62880_cov_2.60427_B0_start13595,14116,15692	True	21	chr1	38.8796554748	1674840	22
46	NODE_15433_length_1796_cov_1.89002_B0_start574	True	21	chr1	38.8796554748	1754520	-1
47	NODE_286_length_71585_cov_2.1821___16807	False	21	chr1	42.2517195146	1983960	-1
48	NODE_286_length_71585_cov_2.1821___26661	False	21	chr1	42.2517195146	1983960	-1
49	NODE_722_length_48476_cov_2.21422_B0_start17709,27284	True	21	chr1	42.2517195146	2055900	-1
50	NODE_856_length_45216_cov_2.10359_B0_start29164	True	21	chr1	42.2517195146	2104680	-1
51	NODE_1574_length_33713_cov_2.29833_B0_start16429,16429,26592,26592	True	21	chr1	42.2517195146	2150220	-1
52	NODE_2765_length_23480_cov_2.30334___17982	False	21	chr1	42.2517195146	2184240	-1
53	NODE_2765_length_23480_cov_2.30334___18114	False	21	chr1	42.2517195146	2184240	-1
54	NODE_4041_length_17736_cov_2.25969_B0_start17173	True	21	chr1	42.2517195146	2208060	-1
55	NODE_4782_length_14899_cov_2.10571___9006	False	21	chr1	42.2517195146	2226120	-1
56	NODE_4782_length_14899_cov_2.10571___9061	False	21	chr1	42.2517195146	2226120	-1
57	NODE_4782_length_14899_cov_2.10571___9065	False	21	chr1	42.2517195146	2226120	-1
58	NODE_5379_length_13015_cov_2.47688___8690	False	21	chr1	42.2517195146	2241360	-1
59	NODE_5379_length_13015_cov_2.47688___11942	False	21	chr1	42.2517195146	2241360	-1
60	NODE_5379_length_13015_cov_2.47688___11942	False	21	chr1	42.2517195146	2241360	-1
61	NODE_5824_length_11846_cov_2.01484_B0_start6569	True	21	chr1	42.2517195146	2254680	24
62	NODE_6768_length_9793_cov_2.34467_B0_start2467	True	21	chr1	42.2517195146	2266860	-1
63	NODE_6835_length_9677_cov_2.22713_B0_start7616	True	21	chr1	42.2517195146	2277000	23
64	NODE_7002_length_9337_cov_1.95203_B0_start7155	True	21	chr1	42.2517195146	2287020	25
65	NODE_7471_length_8521_cov_1.95868_B0_start6291,6291,6333,6333	True	21	chr1	42.2517195146	2296680	-1
66	NODE_8621_length_6694_cov_1.87201_B0_start6259,6468	True	21	chr1	42.2517195146	2305560	-1
67	NODE_10977_length_4100_cov_2.04878_B0_start1081,1081	True	21	chr1	42.2517195146	2312580	26
68	NODE_1489_length_34941_cov_2.2771_B0_start25722	True	21	chr1	44.3353543346	2403000	27
69	NODE_1580_length_33639_cov_2.05532___21894	False	21	chr1	47.4942994157	2649960	-1
70	NODE_4358_length_16471_cov_2.25306_B0_start1731,2057,2057	True	21	chr1	47.4942994157	2707740	-1
71	NODE_5460_length_12764_cov_2.76552_B0_start2591,2591,2651	True	21	chr1	47.4942994157	2754360	-1
72	NODE_8235_length_7232_cov_2.32269_B0_start4925	True	21	chr1	47.4942994157	2778900	-1
73	NODE_11150_length_3946_cov_2.25791_B0_start1283,1283	True	21	chr1	47.4942994157	2793600	28
74	NODE_1658_length_32626_cov_2.74092_B0_start10934	True	21	chr1	52.5491052592	2799960	29
75	NODE_9439_length_5688_cov_2.04403_B0_start3299	True	21	chr1	55.4625506654	2870220	30
76	NODE_38_length_125401_cov_2.61571_B1_start104243	True	21	chr1	57.4045423313	2889420	31
77	NODE_38_length_125401_cov_2.61571_B0_start65440	True	21	chr1	59.3095346429	2889420	-1
78	NODE_1509_length_34641_cov_2.7123_B0_start24684,24914	True	21	chr1	59.3095346429	3022560	32
79	NODE_3006_length_22217_cov_2.49018_B0_start11009,11009	True	21	chr1	59.6190471074	3064080	-1
80	NODE_2878_length_22855_cov_2.5483_B0_start10695,10804,11320,11756,11756	True	21	chr1	60.2441412935	3086640	33
81	NODE_3811_length_18633_cov_2.68714_B0_start14673	True	21	chr1	60.2441412935	3109800	-1
82	NODE_4770_length_14948_cov_2.6858_B0_start4785,4785,4786,4786,5350,5350,5520	True	21	chr1	60.2441412935	3128760	-1
83	NODE_416_length_62592_cov_2.66278_B0_start5303,12624,60687	True	21	chr1	61.264584875	3144060	34
84	NODE_1965_length_29563_cov_2.58438_B0_start9598,10982,12600,12600,20110	True	21	chr1	62.2747202409	3207000	35
85	NODE_98_length_95375_cov_2.80994_B2_start72854,73098,93498	True	21	chr1	64.1797125525	3251400	-1
86	NODE_260_length_74094_cov_2.52019_B0_start2683	True	21	chr1	64.1797125525	3347100	36
87	NODE_260_length_74094_cov_2.52019_B1_start50322	True	21	chr1	66.1217042183	3347100	37
88	NODE_771_length_47380_cov_2.40669_B0_start19041,19041	True	21	chr1	67.0741139669	3422220	-1
89	NODE_910_length_44168_cov_2.49238_B0_start7904,31190	True	21	chr1	67.0741139669	3469920	-1
90	NODE_2120_length_28241_cov_2.38488_B0_start20408,20408	True	21	chr1	67.0741139669	3514440	38
91	NODE_3027_length_22135_cov_2.23769___19752	False	21	chr1	67.0741139669	3543000	-1
92	NODE_224_length_77451_cov_2.94241_B1_start66635,66635	True	21	chr1	68.2646464016	3584760	39
93	NODE_3355_length_20600_cov_2.48713_B0_start17321,17321	True	21	chr1	68.2646464016	3662520	-1
94	NODE_1455_length_35448_cov_2.5442_B0_start23856,23856,24046,24046,31451,31613	True	21	chr1	69.4551788362	3728820	40
95	NODE_3381_length_20471_cov_2.62542_B1_start18946	True	21	chr1	70.4075885848	3799920	41
96	NODE_152_length_85155_cov_2.28584_B1_start78022,78098	True	21	chr1	71.4602590447	3862380	42
97	NODE_519_length_56651_cov_2.43207_B1_start39390,43606	True	21	chr1	71.4602590447	3947880	-1
98	NODE_2559_length_24681_cov_2.22506_B0_start7850	True	21	chr1	71.4602590447	4004880	43
99	NODE_6027_length_11366_cov_2.48163___2986	False	21	chr1	71.4602590447	4029900	-1
100	NODE_6456_length_10436_cov_2.68263___2059	False	21	chr1	71.4602590447	4041600	-1
101	NODE_7149_length_9100_cov_2.27002___6929	False	21	chr1	71.4602590447	4052340	-1
102	NODE_7149_length_9100_cov_2.27002___6929	False	21	chr1	70.4075885848	4052340	-1
103	NODE_9260_length_5913_cov_3.32884___5112	False	21	chr1	71.4602590447	4061760	-1
104	NODE_1773_length_31437_cov_2.3509_B0_start25568,25686	True	21	chr1	72.8426776997	4108860	-1
105	NODE_621_length_52106_cov_2.67903_B0_start4680,13593,44607,44607,49583	True	21	chr1	73.2047550189	4140600	-1
106	NODE_2423_length_25848_cov_2.6019_B0_start11062,11062,11112,11112,12284	True	21	chr1	73.2047550189	4193040	-1
107	NODE_2423_length_25848_cov_2.6019_B1_start14620,15751,15751,15754,15754	True	21	chr1	73.8997672531	4193040	-1
108	NODE_16_length_163928_cov_2.52602_B1_start145629	True	21	chr1	73.8997672531	4219200	44
109	NODE_4484_length_16027_cov_2.30074___7356	False	21	chr1	73.8997672531	4383480	-1
110	NODE_4484_length_16027_cov_2.30074___7389	False	21	chr1	73.8997672531	4383480	-1
111	NODE_1440_length_35678_cov_2.15083_B0_start11685	True	21	chr1	75.3924154106	4401840	45
112	NODE_1194_length_39185_cov_2.42911_B0_start17251,17251,22723,22723,30062	True	21	chr1	79.6054325915	4510800	46
113	NODE_7191_length_9005_cov_2.51396___6336	False	21	chr1	79.6054325915	4550340	-1
114	NODE_14209_length_2140_cov_1.83242___150	False	21	chr1	79.6054325915	4559700	-1
115	NODE_2963_length_22407_cov_1.66617___8721	False	21	chr1	83.5290133636	4652040	-1
116	NODE_2963_length_22407_cov_1.66617___8721	False	21	chr1	83.5290133636	4652040	-1
117	NODE_6320_length_10694_cov_2.54404_B0_start3770,3911	True	21	chr1	83.5290133636	4674780	47
118	NODE_6386_length_10576_cov_2.53851_B0_start4940	True	21	chr1	95.9638446505	4711020	-1
119	NODE_10221_length_4830_cov_1.95857_B0_start1495,1495,1498,1498	True	21	chr1	95.9638446505	4727220	48
120	NODE_30039_length_815_cov_2.04191___20	False	21	chr1	95.9638446505	4734120	-1
121	NODE_1327_length_37308_cov_2.56544_B0_start15264,15264,15954,16180	True	21	chr1	96.4766833188	4735260	-1
122	NODE_1256_length_38266_cov_2.92426_B2_start28184	True	21	chr1	96.4819980585	4772880	-1
123	NODE_1256_length_38266_cov_2.92426_B1_start10688	True	21	chr1	97.1002572044	4772880	49
124	NODE_1256_length_38266_cov_2.92426_B0_start7865	True	21	chr1	98.2497331156	4772880	-1
125	NODE_1506_length_34691_cov_2.52175___31704	False	21	chr1	98.2497331156	4839660	-1
126	NODE_3576_length_19578_cov_2.42704_B0_start3960,4306	True	21	chr1	98.2497331156	4874700	-1
127	NODE_3765_length_18838_cov_2.70291_B0_start3278,10211	True	21	chr1	98.2497331156	4894620	-1
128	NODE_7769_length_7959_cov_2.58678_B0_start7182,7182	True	21	chr1	98.2497331156	4913760	52
129	NODE_12015_length_3279_cov_2.51236_B0_start436,497,497	True	21	chr1	98.2497331156	4922040	50
130	NODE_15654_length_1746_cov_2.37954_B0_start562	True	21	chr1	98.2497331156	4925640	51
131	NODE_3445_length_20119_cov_2.31456_B0_start13900,13900	True	21	chr1	99.3024035755	4946040	53
132	NODE_4222_length_16995_cov_2.14853_B0_start5712	True	21	chr1	99.3024035755	4966500	-1
133	NODE_4267_length_16816_cov_3.0402_B0_start4828	True	21	chr1	99.3024035755	4983840	-1
134	NODE_8489_length_6876_cov_2.3979_B0_start2557	True	21	chr1	101.407977843	5088900	54
135	NODE_1617_length_33150_cov_2.40612_B0_start20743	True	21	chr1	104.583648129	5190240	55
136	NODE_3719_length_19016_cov_2.39867_B0_start1360,3561	True	21	chr1	109.426139429	5366040	56
137	NODE_3719_length_19016_cov_2.39867_B1_start10011,10086,10087	True	21	chr1	109.899954616	5366040	-1
138	NODE_246_length_75754_cov_2.6621_B2_start45963,54748	True	21	chr1	110.387707525	5412180	-1
139	NODE_840_length_45668_cov_3.03265_B0_start3542,3542,3554,3554,3688,4560,4560,7387,7387,22437,25033,25033	True	21	chr1	110.387707525	5488260	-1
140	NODE_1861_length_30528_cov_2.34975_B0_start10789,12323,12323	True	21	chr1	110.387707525	5534280	-1
141	NODE_2008_length_29171_cov_2.26133_B0_start16229,16229,24161	True	21	chr1	110.387707525	5595840	57
142	NODE_2381_length_26148_cov_2.47075___5624	False	21	chr1	110.387707525	5652060	-1
143	NODE_2381_length_26148_cov_2.47075___9424	False	21	chr1	110.387707525	5652060	-1
144	NODE_2381_length_26148_cov_2.47075___9479	False	21	chr1	110.387707525	5652060	-1
145	NODE_2381_length_26148_cov_2.47075___9480	False	21	chr1	110.387707525	5652060	-1
146	NODE_2381_length_26148_cov_2.47075___9681	False	21	chr1	111.637772635	5652060	-1
147	NODE_2381_length_26148_cov_2.47075___9703	False	21	chr1	111.637772635	5652060	-1
148	NODE_2381_length_26148_cov_2.47075___9725	False	21	chr1	111.637772635	5652060	-1
149	NODE_1156_length_39713_cov_2.35097_B2_start24316,24316,29095,29099	True	21	chr1	111.637772635	5818320	-1
150	NODE_1336_length_37188_cov_2.57912_B0_start1966,21270	True	21	chr1	111.637772635	5858340	-1
151	NODE_2481_length_25431_cov_2.25648_B0_start9602	True	21	chr1	111.637772635	5895840	58
152	NODE_2635_length_24208_cov_2.53834___19389	False	21	chr1	111.637772635	5921580	-1
153	NODE_2829_length_23125_cov_2.32897___11235	False	21	chr1	111.637772635	5946120	-1
154	NODE_4869_length_14601_cov_2.34293_B0_start9489	True	21	chr1	111.637772635	5969580	-1
155	NODE_1156_length_39713_cov_2.35097_B1_start13145	True	21	chr1	114.97234136	6024180	59
156	NODE_1156_length_39713_cov_2.35097_B0_start4890	True	21	chr1	116.025431452	6024180	-1
157	NODE_131_length_89192_cov_2.41566_B0_start61115,61115,61122,61122	True	21	chr1	118.05023601	6196620	60
158	NODE_9019_length_6202_cov_2.47952_B0_start1809,2205	True	21	chr1	120.908156702	6342420	-1
159	NODE_15535_length_1773_cov_2.51455_B0_start281	True	21	chr1	120.908156702	6348960	61
160	NODE_683_length_49568_cov_2.59717_B0_start27993	True	21	chr1	121.908190038	6444060	-1
161	NODE_4435_length_16203_cov_2.7403___7150	False	21	chr1	121.908190038	6493980	-1
162	NODE_6459_length_10432_cov_2.59715_B0_start3297	True	21	chr1	121.908190038	6510540	62
163	NODE_275_length_72976_cov_7.30282_B2_start42220,62223,62393	True	21	chr1	123.928666954	6601200	63
164	NODE_2931_length_22586_cov_2.23959_B0_start12439,12439,16587	True	21	chr1	123.928666954	6674520	-1
165	NODE_5602_length_12389_cov_2.6434___1485	False	21	chr1	123.928666954	6697440	-1
166	NODE_5602_length_12389_cov_2.6434___1486	False	21	chr1	123.928666954	6697440	-1
167	NODE_7396_length_8649_cov_2.20021_B0_start3343	True	21	chr1	123.928666954	6710160	64
168	NODE_1591_length_33499_cov_2.27109_B0_start1705,1705	True	21	chr1	126.254667736	6763740	66
169	NODE_2015_length_29150_cov_2.55553_B0_start28642	True	21	chr1	126.254667736	6797580	65
170	NODE_10609_length_4449_cov_2.67337___3909	False	21	chr1	126.254667736	6827040	-1
171	NODE_221_length_77823_cov_2.54998_B1_start66818	True	21	chr1	128.853284112	6870420	-1
172	NODE_221_length_77823_cov_2.54998_B0_start46750	True	21	chr1	129.665080238	6870420	67
173	NODE_930_length_43663_cov_2.52292_B0_start4267	True	21	chr1	129.665080238	6963600	69
174	NODE_2811_length_23258_cov_2.59615_B0_start19785	True	21	chr1	129.665080238	7007580	68
175	NODE_2119_length_28250_cov_3.20297_B0_start26392	True	21	chr1	130.963854558	7035960	71
176	NODE_2716_length_23747_cov_2.18769_B0_start932,938,7992,18716,18716	True	21	chr1	130.963854558	7064520	-1
177	NODE_3011_length_22200_cov_2.86579___20005	False	21	chr1	130.963854558	7088580	-1
178	NODE_4239_length_16907_cov_2.72355_B0_start5641	True	21	chr1	130.963854558	7111080	-1
179	NODE_4239_length_16907_cov_2.72355_B1_start8022,8022,8023,8023	True	21	chr1	130.963854558	7111080	-1
180	NODE_4379_length_16413_cov_2.57563_B1_start5753,9429,9478,9478,9513,9513	True	21	chr1	130.963854558	7128300	-1
181	NODE_4379_length_16413_cov_2.57563_B0_start4084,4156,4156	True	21	chr1	131.939540999	7128300	-1
182	NODE_6238_length_10884_cov_1.85673_B0_start1178	True	21	chr1	130.963854558	7156980	-1
183	NODE_6766_length_9796_cov_2.79923_B0_start7221	True	21	chr1	130.963854558	7168200	-1
184	NODE_7344_length_8719_cov_2.37157_B0_start815	True	21	chr1	130.963854558	7178340	-1
185	NODE_9784_length_5292_cov_8.30586_B0_start4335	True	21	chr1	130.963854558	7187400	-1
186	NODE_10252_length_4801_cov_1.76678_B0_start917	True	21	chr1	130.963854558	7193040	70
187	NODE_16069_length_1664_cov_9.89877_B0_start1330	True	21	chr1	130.963854558	7210860	-1
188	NODE_1376_length_36584_cov_2.18_B0_start3974	True	21	chr1	132.924890215	7278840	-1
189	NODE_2866_length_22932_cov_2.35223_B0_start4766,20296,20307	True	21	chr1	132.924890215	7315740	-1
190	NODE_4066_length_17651_cov_2.23288_B0_start7370	True	21	chr1	132.924890215	7339020	72
191	NODE_5999_length_11428_cov_2.613___9357	False	21	chr1	132.924890215	7357020	-1
192	NODE_1326_length_37319_cov_2.52261_B0_start7322,33038,33639	True	21	chr1	133.91502158	7380600	73
193	NODE_3545_length_19675_cov_2.5424_B0_start9892,9975,14050,14672,14934,14941	True	21	chr1	133.91502158	7418220	-1
194	NODE_5155_length_13647_cov_2.54466_B0_start5685,5685,8274	True	21	chr1	133.91502158	7438200	-1
195	NODE_5229_length_13448_cov_2.53276___11917	False	21	chr1	136.800437461	7523820	-1
196	NODE_5999_length_11428_cov_2.613___8878	False	21	chr1	136.800437461	7537620	-1
197	NODE_5999_length_11428_cov_2.613___8930	False	21	chr1	136.800437461	7537620	-1
198	NODE_6517_length_10310_cov_1.84048_B0_start8075	True	21	chr1	136.800437461	7549380	74
199	NODE_4959_length_14276_cov_2.24666_B0_start5305,5305	True	21	chr1	139.181839911	7752540	75
200	NODE_1271_length_38002_cov_2.64936_B0_start33442	True	21	chr1	142.79787299	7776000	76
201	NODE_1993_length_29274_cov_2.37529_B0_start2565,2631	True	21	chr1	147.752418122	7928040	77
202	NODE_2920_length_22646_cov_2.28544_B0_start2974	True	21	chr1	147.752418122	7957620	-1
203	NODE_2221_length_27471_cov_2.45565___15405	False	21	chr1	152.706963254	8122380	-1
204	NODE_2912_length_22672_cov_2.67134_B0_start17529	True	21	chr1	152.706963254	8150160	78
205	NODE_3156_length_21519_cov_2.56085_B0_start4873	True	21	chr1	154.707229985	8184780	79
206	NODE_553_length_55091_cov_2.39199_B0_start19657,19689	True	21	chr1	158.920247166	8247060	80
207	NODE_1647_length_32764_cov_2.35956___15432	False	21	chr1	160.940724083	8303340	-1
208	NODE_2473_length_25517_cov_2.56494_B0_start5390	True	21	chr1	160.940724083	8336460	81
209	NODE_4419_length_16262_cov_2.60177_B0_start2987,2988	True	21	chr1	160.940724083	8362320	-1
210	NODE_3226_length_21182_cov_2.35044_B0_start15956	True	21	chr1	161.875412394	8427420	-1
211	NODE_2541_length_24872_cov_2.4584_B0_start8282	True	21	chr1	162.792787667	8467080	82
212	NODE_13778_length_2319_cov_2.38297_B0_start1577	True	21	chr1	162.792787667	8492280	-1
213	NODE_1636_length_32861_cov_2.43866_B0_start26331,26384,27002	True	21	chr1	163.678547162	8522880	-1
214	NODE_3045_length_22038_cov_2.37513_B0_start9222	True	21	chr1	163.692355001	8556060	-1
215	NODE_173_length_82612_cov_2.52619_B0_start6534,6534,12389,12389,12619	True	21	chr1	163.696870315	8578440	-1
216	NODE_173_length_82612_cov_2.52619_B1_start35405	True	21	chr1	164.644851251	8578440	83
217	NODE_14653_length_1995_cov_2.05609_B0_start406	True	21	chr1	163.700657315	8669460	-1
218	NODE_3327_length_20699_cov_3.1858_B0_start3912,4056,10502,10502,10564,10564,10660,11065	True	21	chr1	166.586842916	12588780	-1
219	NODE_3396_length_20404_cov_2.27188_B0_start19897,19939	True	21	chr1	166.586842916	12609780	85
220	NODE_6707_length_9936_cov_2.70131_B0_start3980,4010,4086	True	21	chr1	166.586842916	12630540	-1
221	NODE_9117_length_6085_cov_2.25931_B0_start5419	True	21	chr1	166.586842916	12640800	-1
222	NODE_10321_length_4726_cov_2.15012_B0_start3083,3245,3254	True	21	chr1	166.586842916	12647220	84
223	NODE_3557_length_19646_cov_2.42423_B0_start16973,16973,16990,16990	True	21	chr1	167.349904368	12652260	-1
224	NODE_3802_length_18661_cov_2.44838_B0_start10367	True	21	chr1	167.371751096	12672240	-1
225	NODE_2567_length_24614_cov_2.63329_B0_start6843,6948	True	21	chr1	168.85996162	12716400	86
226	NODE_1787_length_31300_cov_2.67377_B0_start10797,15532,18728,18728,18728	True	21	chr1	169.568403278	12762120	-1
227	NODE_1374_length_36621_cov_2.64716_B0_start6474,6474,9199,9336,9336	True	21	chr1	170.880438537	12804000	87
228	NODE_1847_length_30657_cov_2.64279_B0_start22793,22793	True	21	chr1	173.822463538	12872040	88
229	NODE_6771_length_9779_cov_2.43828___6499	False	21	chr1	173.822463538	12903000	-1
230	NODE_16263_length_1627_cov_2.79521___1457	False	21	chr1	173.822463538	12913080	-1
231	NODE_2670_length_24035_cov_2.44154_B0_start5112	True	21	chr1	174.946106331	12922260	89
232	NODE_1783_length_31327_cov_2.49583_B0_start7815,7862,8244,14087,21539,21760,21760	True	21	chr1	178.395749905	13029600	90
233	NODE_7335_length_8739_cov_2.68408_B0_start7863,7901,8393,8393,8399,8399	True	21	chr1	178.395749905	13061280	-1
234	NODE_7912_length_7720_cov_2.44044_B0_start6617,6617,6654,6654	True	21	chr1	178.395749905	13070340	-1
235	NODE_1633_length_32884_cov_2.52602___18906	False	21	chr1	181.622675962	13095180	-1
236	NODE_1633_length_32884_cov_2.52602___18907	False	21	chr1	181.622675962	13095180	-1
237	NODE_1633_length_32884_cov_2.52602___18920	False	21	chr1	184.123196991	13095180	-1
238	NODE_1633_length_32884_cov_2.52602___18920	False	21	chr1	184.123196991	13095180	-1
239	NODE_1633_length_32884_cov_2.52602___18934	False	21	chr1	184.123196991	13095180	-1
240	NODE_1633_length_32884_cov_2.52602___18934	False	21	chr1	184.123196991	13095180	-1
241	NODE_1854_length_30601_cov_2.56008_B0_start6984	True	21	chr1	181.622675962	13128420	-1
242	NODE_1925_length_29956_cov_2.8271___14591	False	21	chr1	181.622675962	13159380	-1
243	NODE_2241_length_27299_cov_2.69157_B0_start4962,5007	True	21	chr1	181.622675962	13189680	91
244	NODE_8092_length_7439_cov_2.59008_B0_start355	True	21	chr1	181.622675962	13227600	92
245	NODE_4995_length_14134_cov_2.62694_B0_start3963	True	21	chr1	184.123196991	13243920	-1
246	NODE_6018_length_11387_cov_1.99547_B0_start8002,8223	True	21	chr1	184.123196991	13258380	-1
247	NODE_7593_length_8279_cov_2.80284_B0_start2405	True	21	chr1	184.123196991	13270080	-1
248	NODE_10424_length_4628_cov_2.69612_B0_start2152	True	21	chr1	184.123196991	13278660	93
249	NODE_1899_length_30090_cov_2.61054_B0_start13873,13953	True	21	chr1	186.62371802	13314420	94
250	NODE_626_length_51859_cov_2.54604_B1_start23986,29647,32051,32051,41961,46517,46560,49980,49980,51460,51460	True	21	chr1	188.493094623	13381140	95
251	NODE_626_length_51859_cov_2.54604_B0_start6026	True	21	chr1	190.055721798	13381140	-1
252	NODE_2176_length_27875_cov_2.39641___15371	False	21	chr1	188.493094623	13433340	-1
253	NODE_145_length_86733_cov_2.67796_B0_start9363	True	21	chr1	190.055721798	13518180	96
254	NODE_1438_length_35666_cov_2.43468_B0_start1585,1600	True	21	chr1	190.055721798	13605240	97
255	NODE_1930_length_29901_cov_2.7434___14407	False	21	chr1	190.055721798	13641240	-1
256	NODE_2833_length_23112_cov_2.43055_B0_start4625	True	21	chr1	190.055721798	13671480	-1
257	NODE_13655_length_2374_cov_3.02221_B0_start732	True	21	chr1	191.246254233	13696320	98
258	NODE_775_length_47327_cov_2.98699_B1_start33662	True	21	chr1	193.207289891	13705380	99
259	NODE_775_length_47327_cov_2.98699_B2_start39287	True	21	chr1	194.217425257	13705380	100
260	NODE_8962_length_6275_cov_2.41482_B0_start2490,2522,3799,3856	True	21	chr1	194.217425257	13802640	-1
261	NODE_2605_length_24400_cov_2.42913_B0_start1439,3869,3987,8677,8776,8842	True	21	chr1	195.207556621	13809240	101
262	NODE_2007_length_29190_cov_2.58867_B0_start28836,28836	True	21	chr1	197.260942836	13860840	-1
263	NODE_6524_length_10304_cov_2.63402_B0_start3983	True	21	chr1	198.301326807	13967640	102
264	NODE_2389_length_26086_cov_2.63945_B0_start12696,19561,19561,23824,24001,24347	True	21	chr1	200.363474734	14043660	-1
265	NODE_4831_length_14709_cov_2.63534_B0_start12408	True	21	chr1	200.363474734	14070060	103
266	NODE_376_length_64700_cov_2.76372_B0_start24245,24282,24416,24610,52702,52702	True	21	chr1	204.325943317	14162040	104
267	NODE_3957_length_18084_cov_2.67931_B0_start10146	True	21	chr1	204.325943317	14227080	-1
268	NODE_255_length_74630_cov_2.50886_B0_start27447,28470,35506,35522,43234,48498,55426,58709	True	21	chr1	205.306366886	14245500	-1
269	NODE_255_length_74630_cov_2.50886_B1_start58829	True	21	chr1	205.306366886	14245500	-1
