id,marker_name,linkage_id,chr,genetic_coord
31,NODE_2297_length_26793_cov_2.51972___19140,21,chr1,28.9108264117
32,NODE_1676_length_32457_cov_2.39576_B0_start7222,21,chr1,31.8801407259
33,"NODE_2956_length_22455_cov_2.16689_B0_start11155,11155,14579",21,chr1,33.6201871647
34,"NODE_4662_length_15355_cov_2.25499_B0_start3171,11432",21,chr1,33.6201871647
35,NODE_6560_length_10221_cov_2.55872___4039,21,chr1,33.6201871647
36,NODE_8832_length_6426_cov_2.60146___4611,21,chr1,33.6201871647
37,NODE_8832_length_6426_cov_2.60146___4779,21,chr1,33.6201871647
38,NODE_17984_length_1385_cov_2.10301_B0_start1011,21,chr1,33.6201871647
39,"NODE_289_length_71390_cov_2.61206_B0_start44703,44703,53592,66519",21,chr1,34.7696630759
40,"NODE_1450_length_35543_cov_2.30327_B0_start8227,8227",21,chr1,34.7696630759
41,"NODE_3255_length_21025_cov_2.44273_B0_start16500,16500,16508,16508",21,chr1,36.8976437968
42,NODE_1414_length_36053_cov_2.13757_B0_start12366,21,chr1,37.9180873784
43,"NODE_4829_length_14717_cov_2.78292_B0_start3367,3369",21,chr1,37.9180873784
44,NODE_286_length_71585_cov_2.1821___49309,21,chr1,38.8796554748
45,"NODE_411_length_62880_cov_2.60427_B0_start13595,14116,15692",21,chr1,38.8796554748
46,NODE_15433_length_1796_cov_1.89002_B0_start574,21,chr1,38.8796554748
47,NODE_286_length_71585_cov_2.1821___16807,21,chr1,42.2517195146
48,NODE_286_length_71585_cov_2.1821___26661,21,chr1,42.2517195146
49,"NODE_722_length_48476_cov_2.21422_B0_start17709,27284",21,chr1,42.2517195146
50,NODE_856_length_45216_cov_2.10359_B0_start29164,21,chr1,42.2517195146
51,"NODE_1574_length_33713_cov_2.29833_B0_start16429,16429,26592,26592",21,chr1,42.2517195146
52,NODE_2765_length_23480_cov_2.30334___17982,21,chr1,42.2517195146
53,NODE_2765_length_23480_cov_2.30334___18114,21,chr1,42.2517195146
54,NODE_4041_length_17736_cov_2.25969_B0_start17173,21,chr1,42.2517195146
55,NODE_4782_length_14899_cov_2.10571___9006,21,chr1,42.2517195146
56,NODE_4782_length_14899_cov_2.10571___9061,21,chr1,42.2517195146
57,NODE_4782_length_14899_cov_2.10571___9065,21,chr1,42.2517195146
58,NODE_5379_length_13015_cov_2.47688___8690,21,chr1,42.2517195146
59,NODE_5379_length_13015_cov_2.47688___11942,21,chr1,42.2517195146
61,NODE_5824_length_11846_cov_2.01484_B0_start6569,21,chr1,42.2517195146
62,NODE_6768_length_9793_cov_2.34467_B0_start2467,21,chr1,42.2517195146
63,NODE_6835_length_9677_cov_2.22713_B0_start7616,21,chr1,42.2517195146
64,NODE_7002_length_9337_cov_1.95203_B0_start7155,21,chr1,42.2517195146
65,"NODE_7471_length_8521_cov_1.95868_B0_start6291,6291,6333,6333",21,chr1,42.2517195146
66,"NODE_8621_length_6694_cov_1.87201_B0_start6259,6468",21,chr1,42.2517195146
67,"NODE_10977_length_4100_cov_2.04878_B0_start1081,1081",21,chr1,42.2517195146
68,NODE_1489_length_34941_cov_2.2771_B0_start25722,21,chr1,44.3353543346
69,NODE_1580_length_33639_cov_2.05532___21894,21,chr1,47.4942994157
70,"NODE_4358_length_16471_cov_2.25306_B0_start1731,2057,2057",21,chr1,47.4942994157
71,"NODE_5460_length_12764_cov_2.76552_B0_start2591,2591,2651",21,chr1,47.4942994157
72,NODE_8235_length_7232_cov_2.32269_B0_start4925,21,chr1,47.4942994157
73,"NODE_11150_length_3946_cov_2.25791_B0_start1283,1283",21,chr1,47.4942994157
74,NODE_1658_length_32626_cov_2.74092_B0_start10934,21,chr1,52.5491052592
75,NODE_9439_length_5688_cov_2.04403_B0_start3299,21,chr1,55.4625506654
76,NODE_38_length_125401_cov_2.61571_B1_start104243,21,chr1,57.4045423313
77,NODE_38_length_125401_cov_2.61571_B0_start65440,21,chr1,59.3095346429
78,"NODE_1509_length_34641_cov_2.7123_B0_start24684,24914",21,chr1,59.3095346429
79,"NODE_3006_length_22217_cov_2.49018_B0_start11009,11009",21,chr1,59.6190471074
80,"NODE_2878_length_22855_cov_2.5483_B0_start10695,10804,11320,11756,11756",21,chr1,60.2441412935
81,NODE_3811_length_18633_cov_2.68714_B0_start14673,21,chr1,60.2441412935
82,"NODE_4770_length_14948_cov_2.6858_B0_start4785,4785,4786,4786,5350,5350,5520",21,chr1,60.2441412935
83,"NODE_416_length_62592_cov_2.66278_B0_start5303,12624,60687",21,chr1,61.264584875
84,"NODE_1965_length_29563_cov_2.58438_B0_start9598,10982,12600,12600,20110",21,chr1,62.2747202409
85,"NODE_98_length_95375_cov_2.80994_B2_start72854,73098,93498",21,chr1,64.1797125525
86,NODE_260_length_74094_cov_2.52019_B0_start2683,21,chr1,64.1797125525
87,NODE_260_length_74094_cov_2.52019_B1_start50322,21,chr1,66.1217042183
88,"NODE_771_length_47380_cov_2.40669_B0_start19041,19041",21,chr1,67.0741139669
89,"NODE_910_length_44168_cov_2.49238_B0_start7904,31190",21,chr1,67.0741139669
90,"NODE_2120_length_28241_cov_2.38488_B0_start20408,20408",21,chr1,67.0741139669
91,NODE_3027_length_22135_cov_2.23769___19752,21,chr1,67.0741139669
92,"NODE_224_length_77451_cov_2.94241_B1_start66635,66635",21,chr1,68.2646464016
93,"NODE_3355_length_20600_cov_2.48713_B0_start17321,17321",21,chr1,68.2646464016
94,"NODE_1455_length_35448_cov_2.5442_B0_start23856,23856,24046,24046,31451,31613",21,chr1,69.4551788362
95,NODE_3381_length_20471_cov_2.62542_B1_start18946,21,chr1,70.4075885848
96,"NODE_152_length_85155_cov_2.28584_B1_start78022,78098",21,chr1,71.4602590447
97,"NODE_519_length_56651_cov_2.43207_B1_start39390,43606",21,chr1,71.4602590447
98,NODE_2559_length_24681_cov_2.22506_B0_start7850,21,chr1,71.4602590447
99,NODE_6027_length_11366_cov_2.48163___2986,21,chr1,71.4602590447
100,NODE_6456_length_10436_cov_2.68263___2059,21,chr1,71.4602590447
101,NODE_7149_length_9100_cov_2.27002___6929,21,chr1,71.4602590447
103,NODE_9260_length_5913_cov_3.32884___5112,21,chr1,71.4602590447
104,"NODE_1773_length_31437_cov_2.3509_B0_start25568,25686",21,chr1,72.8426776997
105,"NODE_621_length_52106_cov_2.67903_B0_start4680,13593,44607,44607,49583",21,chr1,73.2047550189
106,"NODE_2423_length_25848_cov_2.6019_B0_start11062,11062,11112,11112,12284",21,chr1,73.2047550189
107,"NODE_2423_length_25848_cov_2.6019_B1_start14620,15751,15751,15754,15754",21,chr1,73.8997672531
108,NODE_16_length_163928_cov_2.52602_B1_start145629,21,chr1,73.8997672531
109,NODE_4484_length_16027_cov_2.30074___7356,21,chr1,73.8997672531
110,NODE_4484_length_16027_cov_2.30074___7389,21,chr1,73.8997672531
111,NODE_1440_length_35678_cov_2.15083_B0_start11685,21,chr1,75.3924154106
112,"NODE_1194_length_39185_cov_2.42911_B0_start17251,17251,22723,22723,30062",21,chr1,79.6054325915
113,NODE_7191_length_9005_cov_2.51396___6336,21,chr1,79.6054325915
114,NODE_14209_length_2140_cov_1.83242___150,21,chr1,79.6054325915
115,NODE_2963_length_22407_cov_1.66617___8721,21,chr1,83.5290133636
117,"NODE_6320_length_10694_cov_2.54404_B0_start3770,3911",21,chr1,83.5290133636
118,NODE_6386_length_10576_cov_2.53851_B0_start4940,21,chr1,95.9638446505
119,"NODE_10221_length_4830_cov_1.95857_B0_start1495,1495,1498,1498",21,chr1,95.9638446505
120,NODE_30039_length_815_cov_2.04191___20,21,chr1,95.9638446505
121,"NODE_1327_length_37308_cov_2.56544_B0_start15264,15264,15954,16180",21,chr1,96.4766833188
122,NODE_1256_length_38266_cov_2.92426_B2_start28184,21,chr1,96.4819980585
123,NODE_1256_length_38266_cov_2.92426_B1_start10688,21,chr1,97.1002572044
124,NODE_1256_length_38266_cov_2.92426_B0_start7865,21,chr1,98.2497331156
125,NODE_1506_length_34691_cov_2.52175___31704,21,chr1,98.2497331156
126,"NODE_3576_length_19578_cov_2.42704_B0_start3960,4306",21,chr1,98.2497331156
127,"NODE_3765_length_18838_cov_2.70291_B0_start3278,10211",21,chr1,98.2497331156
128,"NODE_7769_length_7959_cov_2.58678_B0_start7182,7182",21,chr1,98.2497331156
129,"NODE_12015_length_3279_cov_2.51236_B0_start436,497,497",21,chr1,98.2497331156
130,NODE_15654_length_1746_cov_2.37954_B0_start562,21,chr1,98.2497331156
131,"NODE_3445_length_20119_cov_2.31456_B0_start13900,13900",21,chr1,99.3024035755
132,NODE_4222_length_16995_cov_2.14853_B0_start5712,21,chr1,99.3024035755
133,NODE_4267_length_16816_cov_3.0402_B0_start4828,21,chr1,99.3024035755
134,NODE_8489_length_6876_cov_2.3979_B0_start2557,21,chr1,101.407977843
135,NODE_1617_length_33150_cov_2.40612_B0_start20743,21,chr1,104.583648129
136,"NODE_3719_length_19016_cov_2.39867_B0_start1360,3561",21,chr1,109.426139429
137,"NODE_3719_length_19016_cov_2.39867_B1_start10011,10086,10087",21,chr1,109.899954616
138,"NODE_246_length_75754_cov_2.6621_B2_start45963,54748",21,chr1,110.387707525
139,"NODE_840_length_45668_cov_3.03265_B0_start3542,3542,3554,3554,3688,4560,4560,7387,7387,22437,25033,25033",21,chr1,110.387707525
140,"NODE_1861_length_30528_cov_2.34975_B0_start10789,12323,12323",21,chr1,110.387707525
141,"NODE_2008_length_29171_cov_2.26133_B0_start16229,16229,24161",21,chr1,110.387707525
142,NODE_2381_length_26148_cov_2.47075___5624,21,chr1,110.387707525
143,NODE_2381_length_26148_cov_2.47075___9424,21,chr1,110.387707525
144,NODE_2381_length_26148_cov_2.47075___9479,21,chr1,110.387707525
145,NODE_2381_length_26148_cov_2.47075___9480,21,chr1,110.387707525
146,NODE_2381_length_26148_cov_2.47075___9681,21,chr1,111.637772635
147,NODE_2381_length_26148_cov_2.47075___9703,21,chr1,111.637772635
148,NODE_2381_length_26148_cov_2.47075___9725,21,chr1,111.637772635
149,"NODE_1156_length_39713_cov_2.35097_B2_start24316,24316,29095,29099",21,chr1,111.637772635
150,"NODE_1336_length_37188_cov_2.57912_B0_start1966,21270",21,chr1,111.637772635
151,NODE_2481_length_25431_cov_2.25648_B0_start9602,21,chr1,111.637772635
152,NODE_2635_length_24208_cov_2.53834___19389,21,chr1,111.637772635
153,NODE_2829_length_23125_cov_2.32897___11235,21,chr1,111.637772635
154,NODE_4869_length_14601_cov_2.34293_B0_start9489,21,chr1,111.637772635
155,NODE_1156_length_39713_cov_2.35097_B1_start13145,21,chr1,114.97234136
156,NODE_1156_length_39713_cov_2.35097_B0_start4890,21,chr1,116.025431452
157,"NODE_131_length_89192_cov_2.41566_B0_start61115,61115,61122,61122",21,chr1,118.05023601
158,"NODE_9019_length_6202_cov_2.47952_B0_start1809,2205",21,chr1,120.908156702
159,NODE_15535_length_1773_cov_2.51455_B0_start281,21,chr1,120.908156702
160,NODE_683_length_49568_cov_2.59717_B0_start27993,21,chr1,121.908190038
161,NODE_4435_length_16203_cov_2.7403___7150,21,chr1,121.908190038
162,NODE_6459_length_10432_cov_2.59715_B0_start3297,21,chr1,121.908190038
163,"NODE_275_length_72976_cov_7.30282_B2_start42220,62223,62393",21,chr1,123.928666954
164,"NODE_2931_length_22586_cov_2.23959_B0_start12439,12439,16587",21,chr1,123.928666954
165,NODE_5602_length_12389_cov_2.6434___1485,21,chr1,123.928666954
166,NODE_5602_length_12389_cov_2.6434___1486,21,chr1,123.928666954
167,NODE_7396_length_8649_cov_2.20021_B0_start3343,21,chr1,123.928666954
168,"NODE_1591_length_33499_cov_2.27109_B0_start1705,1705",21,chr1,126.254667736
169,NODE_2015_length_29150_cov_2.55553_B0_start28642,21,chr1,126.254667736
170,NODE_10609_length_4449_cov_2.67337___3909,21,chr1,126.254667736
171,NODE_221_length_77823_cov_2.54998_B1_start66818,21,chr1,128.853284112
172,NODE_221_length_77823_cov_2.54998_B0_start46750,21,chr1,129.665080238
173,NODE_930_length_43663_cov_2.52292_B0_start4267,21,chr1,129.665080238
174,NODE_2811_length_23258_cov_2.59615_B0_start19785,21,chr1,129.665080238
175,NODE_2119_length_28250_cov_3.20297_B0_start26392,21,chr1,130.963854558
176,"NODE_2716_length_23747_cov_2.18769_B0_start932,938,7992,18716,18716",21,chr1,130.963854558
177,NODE_3011_length_22200_cov_2.86579___20005,21,chr1,130.963854558
178,NODE_4239_length_16907_cov_2.72355_B0_start5641,21,chr1,130.963854558
179,"NODE_4239_length_16907_cov_2.72355_B1_start8022,8022,8023,8023",21,chr1,130.963854558
180,"NODE_4379_length_16413_cov_2.57563_B1_start5753,9429,9478,9478,9513,9513",21,chr1,130.963854558
181,"NODE_4379_length_16413_cov_2.57563_B0_start4084,4156,4156",21,chr1,131.939540999
182,NODE_6238_length_10884_cov_1.85673_B0_start1178,21,chr1,130.963854558
183,NODE_6766_length_9796_cov_2.79923_B0_start7221,21,chr1,130.963854558
184,NODE_7344_length_8719_cov_2.37157_B0_start815,21,chr1,130.963854558
185,NODE_9784_length_5292_cov_8.30586_B0_start4335,21,chr1,130.963854558
186,NODE_10252_length_4801_cov_1.76678_B0_start917,21,chr1,130.963854558
187,NODE_16069_length_1664_cov_9.89877_B0_start1330,21,chr1,130.963854558
188,NODE_1376_length_36584_cov_2.18_B0_start3974,21,chr1,132.924890215
189,"NODE_2866_length_22932_cov_2.35223_B0_start4766,20296,20307",21,chr1,132.924890215
190,NODE_4066_length_17651_cov_2.23288_B0_start7370,21,chr1,132.924890215
191,NODE_5999_length_11428_cov_2.613___9357,21,chr1,132.924890215
192,"NODE_1326_length_37319_cov_2.52261_B0_start7322,33038,33639",21,chr1,133.91502158
193,"NODE_3545_length_19675_cov_2.5424_B0_start9892,9975,14050,14672,14934,14941",21,chr1,133.91502158
194,"NODE_5155_length_13647_cov_2.54466_B0_start5685,5685,8274",21,chr1,133.91502158
195,NODE_5229_length_13448_cov_2.53276___11917,21,chr1,136.800437461
196,NODE_5999_length_11428_cov_2.613___8878,21,chr1,136.800437461
197,NODE_5999_length_11428_cov_2.613___8930,21,chr1,136.800437461
198,NODE_6517_length_10310_cov_1.84048_B0_start8075,21,chr1,136.800437461
199,"NODE_4959_length_14276_cov_2.24666_B0_start5305,5305",21,chr1,139.181839911
200,NODE_1271_length_38002_cov_2.64936_B0_start33442,21,chr1,142.79787299
201,"NODE_1993_length_29274_cov_2.37529_B0_start2565,2631",21,chr1,147.752418122
202,NODE_2920_length_22646_cov_2.28544_B0_start2974,21,chr1,147.752418122
203,NODE_2221_length_27471_cov_2.45565___15405,21,chr1,152.706963254
204,NODE_2912_length_22672_cov_2.67134_B0_start17529,21,chr1,152.706963254
205,NODE_3156_length_21519_cov_2.56085_B0_start4873,21,chr1,154.707229985
206,"NODE_553_length_55091_cov_2.39199_B0_start19657,19689",21,chr1,158.920247166
207,NODE_1647_length_32764_cov_2.35956___15432,21,chr1,160.940724083
208,NODE_2473_length_25517_cov_2.56494_B0_start5390,21,chr1,160.940724083
209,"NODE_4419_length_16262_cov_2.60177_B0_start2987,2988",21,chr1,160.940724083
210,NODE_3226_length_21182_cov_2.35044_B0_start15956,21,chr1,161.875412394
211,NODE_2541_length_24872_cov_2.4584_B0_start8282,21,chr1,162.792787667
212,NODE_13778_length_2319_cov_2.38297_B0_start1577,21,chr1,162.792787667
213,"NODE_1636_length_32861_cov_2.43866_B0_start26331,26384,27002",21,chr1,163.678547162
214,NODE_3045_length_22038_cov_2.37513_B0_start9222,21,chr1,163.692355001
215,"NODE_173_length_82612_cov_2.52619_B0_start6534,6534,12389,12389,12619",21,chr1,163.696870315
216,NODE_173_length_82612_cov_2.52619_B1_start35405,21,chr1,164.644851251
217,NODE_14653_length_1995_cov_2.05609_B0_start406,21,chr1,163.700657315
218,"NODE_3327_length_20699_cov_3.1858_B0_start3912,4056,10502,10502,10564,10564,10660,11065",21,chr1,166.586842916
219,"NODE_3396_length_20404_cov_2.27188_B0_start19897,19939",21,chr1,166.586842916
220,"NODE_6707_length_9936_cov_2.70131_B0_start3980,4010,4086",21,chr1,166.586842916
221,NODE_9117_length_6085_cov_2.25931_B0_start5419,21,chr1,166.586842916
222,"NODE_10321_length_4726_cov_2.15012_B0_start3083,3245,3254",21,chr1,166.586842916
223,"NODE_3557_length_19646_cov_2.42423_B0_start16973,16973,16990,16990",21,chr1,167.349904368
224,NODE_3802_length_18661_cov_2.44838_B0_start10367,21,chr1,167.371751096
225,"NODE_2567_length_24614_cov_2.63329_B0_start6843,6948",21,chr1,168.85996162
226,"NODE_1787_length_31300_cov_2.67377_B0_start10797,15532,18728,18728,18728",21,chr1,169.568403278
227,"NODE_1374_length_36621_cov_2.64716_B0_start6474,6474,9199,9336,9336",21,chr1,170.880438537
228,"NODE_1847_length_30657_cov_2.64279_B0_start22793,22793",21,chr1,173.822463538
229,NODE_6771_length_9779_cov_2.43828___6499,21,chr1,173.822463538
230,NODE_16263_length_1627_cov_2.79521___1457,21,chr1,173.822463538
231,NODE_2670_length_24035_cov_2.44154_B0_start5112,21,chr1,174.946106331
232,"NODE_1783_length_31327_cov_2.49583_B0_start7815,7862,8244,14087,21539,21760,21760",21,chr1,178.395749905
233,"NODE_7335_length_8739_cov_2.68408_B0_start7863,7901,8393,8393,8399,8399",21,chr1,178.395749905
234,"NODE_7912_length_7720_cov_2.44044_B0_start6617,6617,6654,6654",21,chr1,178.395749905
235,NODE_1633_length_32884_cov_2.52602___18906,21,chr1,181.622675962
236,NODE_1633_length_32884_cov_2.52602___18907,21,chr1,181.622675962
237,NODE_1633_length_32884_cov_2.52602___18920,21,chr1,184.123196991
239,NODE_1633_length_32884_cov_2.52602___18934,21,chr1,184.123196991
241,NODE_1854_length_30601_cov_2.56008_B0_start6984,21,chr1,181.622675962
242,NODE_1925_length_29956_cov_2.8271___14591,21,chr1,181.622675962
243,"NODE_2241_length_27299_cov_2.69157_B0_start4962,5007",21,chr1,181.622675962
244,NODE_8092_length_7439_cov_2.59008_B0_start355,21,chr1,181.622675962
245,NODE_4995_length_14134_cov_2.62694_B0_start3963,21,chr1,184.123196991
246,"NODE_6018_length_11387_cov_1.99547_B0_start8002,8223",21,chr1,184.123196991
247,NODE_7593_length_8279_cov_2.80284_B0_start2405,21,chr1,184.123196991
248,NODE_10424_length_4628_cov_2.69612_B0_start2152,21,chr1,184.123196991
249,"NODE_1899_length_30090_cov_2.61054_B0_start13873,13953",21,chr1,186.62371802
250,"NODE_626_length_51859_cov_2.54604_B1_start23986,29647,32051,32051,41961,46517,46560,49980,49980,51460,51460",21,chr1,188.493094623
251,NODE_626_length_51859_cov_2.54604_B0_start6026,21,chr1,190.055721798
252,NODE_2176_length_27875_cov_2.39641___15371,21,chr1,188.493094623
253,NODE_145_length_86733_cov_2.67796_B0_start9363,21,chr1,190.055721798
254,"NODE_1438_length_35666_cov_2.43468_B0_start1585,1600",21,chr1,190.055721798
255,NODE_1930_length_29901_cov_2.7434___14407,21,chr1,190.055721798
256,NODE_2833_length_23112_cov_2.43055_B0_start4625,21,chr1,190.055721798
257,NODE_13655_length_2374_cov_3.02221_B0_start732,21,chr1,191.246254233
258,NODE_775_length_47327_cov_2.98699_B1_start33662,21,chr1,193.207289891
259,NODE_775_length_47327_cov_2.98699_B2_start39287,21,chr1,194.217425257
260,"NODE_8962_length_6275_cov_2.41482_B0_start2490,2522,3799,3856",21,chr1,194.217425257
261,"NODE_2605_length_24400_cov_2.42913_B0_start1439,3869,3987,8677,8776,8842",21,chr1,195.207556621
262,"NODE_2007_length_29190_cov_2.58867_B0_start28836,28836",21,chr1,197.260942836
263,NODE_6524_length_10304_cov_2.63402_B0_start3983,21,chr1,198.301326807
264,"NODE_2389_length_26086_cov_2.63945_B0_start12696,19561,19561,23824,24001,24347",21,chr1,200.363474734
265,NODE_4831_length_14709_cov_2.63534_B0_start12408,21,chr1,200.363474734
266,"NODE_376_length_64700_cov_2.76372_B0_start24245,24282,24416,24610,52702,52702",21,chr1,204.325943317
267,NODE_3957_length_18084_cov_2.67931_B0_start10146,21,chr1,204.325943317
268,"NODE_255_length_74630_cov_2.50886_B0_start27447,28470,35506,35522,43234,48498,55426,58709",21,chr1,205.306366886
269,NODE_255_length_74630_cov_2.50886_B1_start58829,21,chr1,205.306366886
270,"NODE_1103_length_40690_cov_2.71598_B0_start2021,22906",21,chr1,205.306366886
271,NODE_2208_length_27591_cov_2.67264_B0_start15649,21,chr1,205.306366886
272,NODE_3875_length_18418_cov_2.63187_B0_start1362,21,chr1,205.306366886
273,"NODE_4137_length_17372_cov_1.95582_B0_start317,317",21,chr1,205.306366886
274,NODE_5976_length_11476_cov_2.31278_B0_start4981,21,chr1,205.306366886
275,NODE_5976_length_11476_cov_2.31278_B1_start7372,21,chr1,205.306366886
276,"NODE_6126_length_11129_cov_2.3827_B0_start4381,4459,4459,6062",21,chr1,205.306366886
277,"NODE_8035_length_7523_cov_2.75446_B0_start2254,2364",21,chr1,205.306366886
278,"NODE_1154_length_39721_cov_2.55627_B0_start1275,8479,8479,14605,14605,14625",21,chr1,208.400137072
279,NODE_2247_length_27229_cov_2.46853_B0_start4592,21,chr1,208.400137072
280,"NODE_1766_length_31484_cov_2.54083_B0_start18908,18908",21,chr1,211.526154921
281,NODE_5213_length_13487_cov_2.53472___9913,21,chr1,211.526154921
282,NODE_5213_length_13487_cov_2.53472___10035,21,chr1,211.526154921
283,NODE_1116_length_40371_cov_2.55275___25419,21,chr1,214.788181014
284,NODE_1116_length_40371_cov_2.55275___28049,21,chr1,214.788181014
285,NODE_2958_length_22435_cov_2.36397_B0_start20328,21,chr1,214.788181014
286,NODE_4997_length_14127_cov_2.46165___8974,21,chr1,214.788181014
288,NODE_4997_length_14127_cov_2.46165___9014,21,chr1,214.788181014
290,NODE_5368_length_13041_cov_2.73587___7675,21,chr1,214.788181014
291,NODE_12107_length_3212_cov_2.3124_B0_start1286,21,chr1,214.788181014
292,"NODE_8112_length_7413_cov_1.10316_B0_start905,905",21,chr1,215.840851474
293,"NODE_681_length_49624_cov_2.52344_B1_start29789,29789",21,chr1,216.861295056
294,"NODE_681_length_49624_cov_2.52344_B0_start4540,4543,4739,8997,8997,12026,12085",21,chr1,217.832199349
295,NODE_1436_length_35707_cov_2.51489_B1_start33878,21,chr1,216.861295056
296,NODE_6775_length_9776_cov_2.1181___670,21,chr1,216.861295056
298,NODE_7382_length_8667_cov_2.59071___5883,21,chr1,216.861295056
299,NODE_6147_length_11084_cov_2.65532_B0_start7579,21,chr1,218.919198681
300,NODE_11194_length_3915_cov_1.64135___830,21,chr1,218.919198681
301,NODE_11194_length_3915_cov_1.64135___840,21,chr1,218.919198681
302,NODE_3103_length_21767_cov_2.10844___7674,21,chr1,221.192317384
303,"NODE_4096_length_17548_cov_2.2303_B0_start9311,9311",21,chr1,221.192317384
304,"NODE_1082_length_41153_cov_2.23524_B0_start20916,21002",21,chr1,223.254465311
305,NODE_1293_length_37659_cov_2.34713___19709,21,chr1,223.254465311
306,NODE_6153_length_11072_cov_2.63814_B0_start6410,21,chr1,224.307135771
307,NODE_1553_length_34056_cov_2.38994_B0_start20909,21,chr1,227.400905957
308,NODE_1180_length_39320_cov_2.59237_B0_start23898,21,chr1,229.421382874
309,"NODE_1250_length_38390_cov_2.86798_B0_start15242,15242,20689",21,chr1,231.421649605
310,"NODE_1726_length_31891_cov_2.116_B0_start1346,14443,14443,26671,26671,26671",21,chr1,231.421649605
311,NODE_4731_length_15109_cov_2.64794_B0_start5641,21,chr1,233.402106509
312,NODE_3239_length_21131_cov_2.3878_B0_start7411,21,chr1,234.501051845
313,NODE_5996_length_11431_cov_2.30103_B0_start8381,21,chr1,234.501051845
314,"NODE_222_length_77746_cov_2.86467_B0_start59393,65771",21,chr1,235.588051177
315,"NODE_433_length_61638_cov_2.19946_B0_start4062,10810,11260,11260",21,chr1,235.588051177
316,NODE_2164_length_27938_cov_2.49204_B0_start5475,21,chr1,235.588051177
317,NODE_937_length_43558_cov_2.44082_B1_start37511,21,chr1,236.588084512
318,NODE_6575_length_10198_cov_2.23107_B0_start9952,21,chr1,236.588084512
319,"NODE_1045_length_41676_cov_2.53546_B0_start27997,28219,28219,29063,29087,31859",21,chr1,237.558988805
320,NODE_2311_length_26680_cov_2.36017_B0_start6627,21,chr1,237.558988805
321,"NODE_4238_length_16915_cov_2.26709_B0_start15411,15612",21,chr1,238.611659265
322,NODE_6250_length_10848_cov_2.94117_B0_start1343,21,chr1,238.611659265
323,"NODE_876_length_44798_cov_2.29529_B0_start33274,35742",21,chr1,242.574127848
324,"NODE_1501_length_34741_cov_2.56892_B1_start30564,30564",21,chr1,244.497441889
325,"NODE_1501_length_34741_cov_2.56892_B0_start6840,6840,6856,6856",21,chr1,245.222838791
326,"NODE_3950_length_18105_cov_2.26015_B0_start17890,17891",21,chr1,244.497441889
327,"NODE_4728_length_15120_cov_2.50337_B0_start7007,7007",21,chr1,244.497441889
328,"NODE_1118_length_40311_cov_2.92866_B0_start491,491",21,chr1,246.850817432
